neighbourhood,price per night,price per year
Gramercy,250,91250
Long Island City,50,18250
Hell's Kitchen,550,200750
Washington Heights,50,18250
Gravesend,90,32850
Bedford-Stuyvesant,165,60225
Gowanus,70,25550
Wakefield,90,32850
Bedford-Stuyvesant,109,39785
Bedford-Stuyvesant,96,35040
South Slope,390,142350
Windsor Terrace,78,28470
Bushwick,50,18250
Williamsburg,200,73000
Midtown,112,40880
Upper West Side,117,42705
Prospect Heights,50,18250
Williamsburg,200,73000
Fort Greene,185,67525
Williamsbridge,85,31025
Chinatown,235,85775
East Harlem,75,27375
Midtown,180,65700
Two Bridges,100,36500
Bedford-Stuyvesant,75,27375
Fort Greene,200,73000
Upper West Side,125,45625
Gramercy,130,47450
Ditmars Steinway,99,36135
Bedford-Stuyvesant,40,14600
Midtown,120,43800
Williamsburg,350,127750
Long Island City,84,30660
Murray Hill,83,30295
Park Slope,125,45625
Greenpoint,110,40150
Bedford-Stuyvesant,38,13870
Upper East Side,138,50370
Prospect-Lefferts Gardens,100,36500
Hell's Kitchen,150,54750
Chinatown,90,32850
Upper East Side,154,56210
Crown Heights,75,27375
East Village,110,40150
Sunnyside,129,47085
Cobble Hill,190,69350
Hell's Kitchen,185,67525
East Village,108,39420
Civic Center,98,35770
Bushwick,39,14235
Bedford-Stuyvesant,145,52925
Gramercy,125,45625
Crown Heights,85,31025
Longwood,89,32485
Greenwich Village,245,89425
East Village,230,83950
Crown Heights,43,15695
Crown Heights,40,14600
Lower East Side,200,73000
Upper West Side,40,14600
Bedford-Stuyvesant,85,31025
Williamsburg,50,18250
Harlem,75,27375
Little Italy,255,93075
West Village,199,72635
Prospect Heights,70,25550
East New York,33,12045
Midtown,90,32850
West Village,150,54750
Lower East Side,229,83585
Prospect Heights,34,12410
Inwood,115,41975
Williamsburg,171,62415
Richmond Hill,50,18250
Upper East Side,70,25550
Springfield Gardens,40,14600
Forest Hills,37,13505
Astoria,1800,657000
Crown Heights,36,13140
Bushwick,65,23725
Midtown,120,43800
East Village,135,49275
Upper West Side,2000,730000
Flushing,70,25550
Midtown,160,58400
Hell's Kitchen,70,25550
East Village,140,51100
Bedford-Stuyvesant,69,25185
Washington Heights,125,45625
Gramercy,700,255500
Williamsburg,64,23360
Williamsburg,250,91250
East Harlem,30,10950
Concourse Village,100,36500
Williamsburg,40,14600
Gramercy,200,73000
Park Slope,90,32850
Upper East Side,145,52925
Lower East Side,170,62050
Clinton Hill,70,25550
Washington Heights,70,25550
West Village,168,61320
Bedford-Stuyvesant,195,71175
Upper West Side,250,91250
Hell's Kitchen,55,20075
Prospect Heights,75,27375
Bushwick,55,20075
Bushwick,75,27375
Bedford-Stuyvesant,50,18250
East Village,85,31025
Bedford-Stuyvesant,28,10220
East Harlem,60,21900
Prospect-Lefferts Gardens,70,25550
Chelsea,165,60225
Upper West Side,145,52925
Upper East Side,125,45625
West Village,250,91250
Flatbush,69,25185
Inwood,140,51100
Prospect Heights,250,91250
East Village,278,101470
East Village,285,104025
Astoria,60,21900
Bedford-Stuyvesant,30,10950
Williamsburg,65,23725
Inwood,29,10585
East Village,65,23725
Kingsbridge,45,16425
Upper East Side,130,47450
Williamsburg,75,27375
Bushwick,50,18250
Williamsburg,160,58400
Greenpoint,65,23725
Upper East Side,39,14235
Gramercy,145,52925
Bedford-Stuyvesant,195,71175
Hell's Kitchen,79,28835
Bushwick,50,18250
Inwood,35,12775
Lower East Side,325,118625
East Harlem,40,14600
Williamsburg,95,34675
Upper West Side,105,38325
Inwood,43,15695
Williamsburg,225,82125
Upper West Side,175,63875
Bushwick,75,27375
Cobble Hill,94,34310
Bushwick,100,36500
Greenwich Village,200,73000
East Harlem,95,34675
Little Italy,65,23725
Williamsburg,349,127385
Williamsburg,41,14965
Hell's Kitchen,200,73000
Flatbush,85,31025
Gramercy,1200,438000
Clinton Hill,150,54750
East Harlem,65,23725
Hell's Kitchen,110,40150
East Village,75,27375
Harlem,80,29200
Bushwick,45,16425
Bedford-Stuyvesant,83,30295
Bronxdale,40,14600
Bedford-Stuyvesant,79,28835
Prospect Heights,70,25550
Harlem,177,64605
Williamsburg,60,21900
Upper West Side,190,69350
East Harlem,240,87600
Upper East Side,150,54750
Bedford-Stuyvesant,31,11315
Morningside Heights,110,40150
Gowanus,120,43800
Greenpoint,176,64240
Lower East Side,199,72635
Red Hook,200,73000
Greenpoint,70,25550
Chelsea,65,23725
Bushwick,60,21900
Harlem,140,51100
Prospect Heights,150,54750
Williamsburg,200,73000
Sunset Park,55,20075
East Village,200,73000
East Harlem,100,36500
Astoria,112,40880
Williamsburg,45,16425
Bedford-Stuyvesant,75,27375
Williamsburg,45,16425
Midtown,499,182135
Cobble Hill,160,58400
Jackson Heights,100,36500
East Village,175,63875
Chelsea,80,29200
Williamsburg,60,21900
Financial District,175,63875
Jackson Heights,65,23725
West Village,159,58035
Ridgewood,118,43070
Maspeth,120,43800
Lower East Side,91,33215
Carroll Gardens,125,45625
Crown Heights,55,20075
East Village,175,63875
Harlem,100,36500
Upper West Side,140,51100
Harlem,55,20075
Gowanus,40,14600
Theater District,180,65700
Long Island City,110,40150
Astoria,90,32850
Williamsburg,50,18250
Bedford-Stuyvesant,135,49275
Williamsburg,60,21900
Kips Bay,200,73000
Upper East Side,90,32850
Upper West Side,180,65700
West Village,228,83220
Upper West Side,250,91250
Jamaica,40,14600
Harlem,65,23725
West Village,188,68620
Morningside Heights,130,47450
Greenpoint,140,51100
West Village,130,47450
Boerum Hill,300,109500
Harlem,50,18250
Crown Heights,75,27375
Chelsea,200,73000
Bushwick,250,91250
Elmhurst,100,36500
Bedford-Stuyvesant,112,40880
Hell's Kitchen,230,83950
Financial District,170,62050
East Village,79,28835
Hell's Kitchen,125,45625
Theater District,285,104025
Hell's Kitchen,421,153665
Lower East Side,110,40150
Williamsburg,690,251850
Harlem,169,61685
Crown Heights,60,21900
Greenpoint,70,25550
Upper West Side,150,54750
Upper West Side,120,43800
Harlem,140,51100
East Village,160,58400
Bedford-Stuyvesant,50,18250
Ozone Park,120,43800
Clinton Hill,140,51100
Gowanus,619,225935
Flatiron District,600,219000
Harlem,76,27740
Bushwick,35,12775
Midtown,75,27375
Corona,40,14600
Clinton Hill,54,19710
Nolita,140,51100
Hell's Kitchen,225,82125
Harlem,87,31755
Marble Hill,131,47815
Midtown,198,72270
Morningside Heights,450,164250
Prospect-Lefferts Gardens,175,63875
Murray Hill,100,36500
Upper West Side,250,91250
Upper West Side,280,102200
Bedford-Stuyvesant,135,49275
Crown Heights,2100,766500
Midtown,1100,401500
Ozone Park,87,31755
Harlem,165,60225
Fort Greene,170,62050
Jackson Heights,50,18250
Spuyten Duyvil,79,28835
Chelsea,84,30660
Morningside Heights,375,136875
Upper East Side,135,49275
South Slope,125,45625
Bedford-Stuyvesant,79,28835
Harlem,165,60225
Upper East Side,300,109500
Harlem,45,16425
Midtown,400,146000
Crown Heights,40,14600
Upper West Side,60,21900
Midtown,250,91250
Crown Heights,55,20075
Chinatown,199,72635
Williamsburg,130,47450
East Harlem,44,16060
Nolita,200,73000
Flushing,90,32850
Gramercy,139,50735
Crown Heights,250,91250
East Harlem,120,43800
Bay Ridge,100,36500
Crown Heights,133,48545
East Harlem,120,43800
Williamsburg,100,36500
Chelsea,70,25550
Sunset Park,200,73000
Upper East Side,89,32485
Williamsburg,75,27375
East Village,200,73000
Upper East Side,90,32850
SoHo,190,69350
Washington Heights,150,54750
Washington Heights,85,31025
Lower East Side,65,23725
Washington Heights,110,40150
Chinatown,70,25550
Bedford-Stuyvesant,55,20075
Midtown,75,27375
Hell's Kitchen,59,21535
Park Slope,200,73000
Lower East Side,85,31025
Bushwick,85,31025
Long Island City,158,57670
Kensington,35,12775
East Flatbush,57,20805
Hell's Kitchen,138,50370
Harlem,90,32850
Bedford-Stuyvesant,125,45625
Fort Greene,999,364635
East Harlem,225,82125
Ditmars Steinway,45,16425
Chinatown,150,54750
Upper East Side,150,54750
Upper West Side,140,51100
Jamaica,40,14600
Midtown,205,74825
Murray Hill,190,69350
Chelsea,110,40150
Jamaica,150,54750
Upper East Side,100,36500
Upper East Side,75,27375
Prospect-Lefferts Gardens,115,41975
Prospect Heights,50,18250
West Village,190,69350
Ridgewood,60,21900
Midtown,200,73000
Astoria,90,32850
Tribeca,500,182500
Bushwick,115,41975
Murray Hill,140,51100
East Harlem,50,18250
Kips Bay,135,49275
East Village,109,39785
Crown Heights,60,21900
Bushwick,148,54020
Chinatown,95,34675
Bedford-Stuyvesant,50,18250
Bushwick,79,28835
Williamsburg,50,18250
Morningside Heights,40,14600
Upper West Side,101,36865
Bedford-Stuyvesant,135,49275
Midtown,99,36135
Williamsburg,95,34675
Washington Heights,110,40150
Upper West Side,299,109135
Upper West Side,79,28835
Lower East Side,52,18980
Upper West Side,95,34675
Gowanus,295,107675
Williamsburg,65,23725
Midtown,110,40150
Midtown,215,78475
Fort Hamilton,100,36500
Upper East Side,450,164250
Williamsburg,95,34675
Crown Heights,140,51100
Chinatown,220,80300
Midtown,355,129575
Midtown,185,67525
Murray Hill,297,108405
Upper East Side,133,48545
Hell's Kitchen,100,36500
Lower East Side,250,91250
Long Island City,65,23725
Williamsburg,50,18250
Upper West Side,135,49275
Bedford-Stuyvesant,80,29200
Williamsburg,69,25185
Two Bridges,75,27375
Boerum Hill,125,45625
Little Italy,142,51830
Kips Bay,200,73000
Bushwick,45,16425
Gramercy,97,35405
Murray Hill,229,83585
Hell's Kitchen,175,63875
Williamsburg,63,22995
East Elmhurst,45,16425
Hell's Kitchen,185,67525
Harlem,50,18250
Little Italy,175,63875
Kips Bay,133,48545
Windsor Terrace,62,22630
Sunnyside,90,32850
Cobble Hill,99,36135
Fort Greene,61,22265
Ditmars Steinway,120,43800
Ditmars Steinway,100,36500
Washington Heights,32,11680
Upper East Side,80,29200
East Flatbush,90,32850
Crown Heights,180,65700
Washington Heights,65,23725
Riverdale,49,17885
Washington Heights,100,36500
Bushwick,380,138700
Washington Heights,26,9490
Washington Heights,100,36500
East Village,90,32850
Lower East Side,89,32485
Kingsbridge,35,12775
Greenpoint,66,24090
Midtown,285,104025
Morningside Heights,46,16790
Flatiron District,275,100375
Bedford-Stuyvesant,89,32485
Harlem,250,91250
Williamsburg,200,73000
Prospect Heights,175,63875
Lower East Side,140,51100
Upper East Side,133,48545
Midtown,150,54750
Flushing,55,20075
Greenwich Village,142,51830
Washington Heights,95,34675
Midtown,165,60225
Williamsburg,150,54750
Harlem,99,36135
Midtown,133,48545
Flatbush,150,54750
Astoria,190,69350
Bushwick,60,21900
Crown Heights,106,38690
Bedford-Stuyvesant,165,60225
Williamsburg,190,69350
Jamaica Estates,750,273750
Melrose,150,54750
Gowanus,150,54750
Upper East Side,119,43435
Bedford-Stuyvesant,62,22630
Gramercy,99,36135
Flatlands,34,12410
Lower East Side,129,47085
Williamsburg,105,38325
SoHo,229,83585
Upper West Side,350,127750
Harlem,205,74825
Rockaway Beach,85,31025
Ditmars Steinway,30,10950
Upper West Side,150,54750
Gramercy,186,67890
Downtown Brooklyn,50,18250
Park Slope,200,73000
Upper West Side,172,62780
Upper East Side,250,91250
Kips Bay,133,48545
Upper West Side,150,54750
Chelsea,290,105850
Forest Hills,120,43800
City Island,95,34675
Chinatown,120,43800
Upper East Side,165,60225
Greenpoint,50,18250
Chinatown,180,65700
Bedford-Stuyvesant,38,13870
Bedford-Stuyvesant,85,31025
Lower East Side,145,52925
Crown Heights,29,10585
Bedford-Stuyvesant,120,43800
Upper East Side,117,42705
Bushwick,70,25550
Upper East Side,180,65700
Sunset Park,115,41975
Williamsburg,225,82125
Upper East Side,140,51100
Soundview,45,16425
East Village,119,43435
Upper East Side,125,45625
Williamsburg,46,16790
Bushwick,50,18250
Bedford-Stuyvesant,150,54750
Upper West Side,120,43800
Kensington,45,16425
Fort Greene,115,41975
Upper West Side,95,34675
East Village,110,40150
Gowanus,250,91250
Williamsburg,300,109500
Astoria,45,16425
Kips Bay,159,58035
Lower East Side,220,80300
Kips Bay,159,58035
East Village,70,25550
Greenpoint,45,16425
Upper West Side,40,14600
Harlem,81,29565
Harlem,190,69350
Hell's Kitchen,225,82125
Washington Heights,360,131400
Hell's Kitchen,125,45625
Astoria,95,34675
Elmhurst,62,22630
Harlem,150,54750
Fort Greene,495,180675
Harlem,130,47450
Bushwick,80,29200
Greenpoint,89,32485
Crown Heights,55,20075
Upper East Side,140,51100
Financial District,60,21900
Midtown,142,51830
Upper East Side,125,45625
Hell's Kitchen,133,48545
Williamsburg,200,73000
Williamsburg,85,31025
West Village,625,228125
Gramercy,100,36500
Clinton Hill,176,64240
Hell's Kitchen,175,63875
Clifton,75,27375
Midtown,245,89425
Midtown,125,45625
Kips Bay,159,58035
Concourse,110,40150
Midtown,150,54750
Brighton Beach,99,36135
Crown Heights,49,17885
South Slope,140,51100
Clinton Hill,200,73000
East Village,148,54020
Greenwich Village,165,60225
Bushwick,59,21535
Bushwick,45,16425
Bushwick,45,16425
Harlem,225,82125
East Harlem,70,25550
Sunnyside,95,34675
Bushwick,100,36500
Elmhurst,59,21535
Harlem,50,18250
Upper East Side,400,146000
East Village,100,36500
Hell's Kitchen,199,72635
Crown Heights,35,12775
Crown Heights,65,23725
Prospect-Lefferts Gardens,95,34675
Longwood,60,21900
Hell's Kitchen,200,73000
Upper West Side,200,73000
Harlem,50,18250
Washington Heights,102,37230
Greenwich Village,152,55480
Cobble Hill,490,178850
Murray Hill,250,91250
Harlem,450,164250
Prospect-Lefferts Gardens,98,35770
Brighton Beach,199,72635
Astoria,50,18250
Prospect-Lefferts Gardens,109,39785
Bedford-Stuyvesant,145,52925
Upper West Side,96,35040
Bedford-Stuyvesant,165,60225
Crown Heights,65,23725
Midtown,130,47450
Upper East Side,120,43800
Crown Heights,165,60225
South Slope,200,73000
Upper East Side,122,44530
Harlem,400,146000
Fort Greene,54,19710
Fort Greene,54,19710
Park Slope,54,19710
Nolita,250,91250
Harlem,120,43800
Williamsburg,75,27375
Long Island City,65,23725
Bedford-Stuyvesant,60,21900
Sunset Park,179,65335
Elmhurst,43,15695
West Village,130,47450
Upper West Side,154,56210
Bushwick,135,49275
Woodside,86,31390
Columbia St,85,31025
East Elmhurst,80,29200
Bedford-Stuyvesant,70,25550
Prospect-Lefferts Gardens,65,23725
Harlem,100,36500
Gramercy,130,47450
Crown Heights,139,50735
Borough Park,35,12775
South Slope,100,36500
East Harlem,60,21900
Midtown,133,48545
Flatiron District,275,100375
Lower East Side,112,40880
Kips Bay,142,51830
Crown Heights,135,49275
Prospect-Lefferts Gardens,165,60225
Upper West Side,200,73000
Upper West Side,425,155125
Financial District,110,40150
Bedford-Stuyvesant,40,14600
East Harlem,70,25550
Harlem,65,23725
Sunnyside,95,34675
Williamsburg,100,36500
East Village,140,51100
Kips Bay,150,54750
Kensington,115,41975
Harlem,74,27010
Williamsburg,175,63875
East Village,275,100375
Sunnyside,110,40150
East Village,69,25185
Downtown Brooklyn,50,18250
Williamsburg,85,31025
Financial District,110,40150
Chelsea,142,51830
Harlem,75,27375
East Village,133,48545
Hell's Kitchen,79,28835
Norwood,80,29200
Hell's Kitchen,239,87235
East Harlem,100,36500
Park Slope,159,58035
East Village,140,51100
West Village,250,91250
East Flatbush,135,49275
Prospect-Lefferts Gardens,65,23725
Upper West Side,75,27375
Upper West Side,195,71175
Bedford-Stuyvesant,99,36135
Harlem,70,25550
Hell's Kitchen,199,72635
Inwood,65,23725
Vinegar Hill,245,89425
Upper East Side,150,54750
Bushwick,55,20075
Flatiron District,650,237250
Astoria,50,18250
Canarsie,81,29565
Harlem,92,33580
West Village,105,38325
East Harlem,89,32485
Williamsburg,348,127020
Crown Heights,168,61320
Bushwick,65,23725
East Village,100,36500
Harlem,175,63875
Bedford-Stuyvesant,100,36500
Flatbush,119,43435
Bedford-Stuyvesant,105,38325
Crown Heights,200,73000
SoHo,290,105850
Bedford-Stuyvesant,62,22630
Washington Heights,70,25550
Crown Heights,65,23725
Tribeca,60,21900
Upper West Side,160,58400
Kew Gardens,45,16425
SoHo,595,217175
Crown Heights,60,21900
Williamsburg,95,34675
Fort Greene,150,54750
Hell's Kitchen,200,73000
Upper West Side,160,58400
West Village,300,109500
Flatbush,99,36135
Bedford-Stuyvesant,150,54750
Ridgewood,35,12775
Vinegar Hill,170,62050
East Harlem,65,23725
Flatbush,38,13870
Williamsburg,60,21900
SoHo,500,182500
Park Slope,85,31025
Williamsburg,110,40150
East Harlem,60,21900
Harlem,148,54020
East Village,133,48545
Hell's Kitchen,160,58400
East Village,250,91250
Astoria,95,34675
East Harlem,69,25185
Long Island City,180,65700
Harlem,40,14600
Flatbush,85,31025
Bushwick,65,23725
Crown Heights,55,20075
East Village,75,27375
East Harlem,125,45625
Morris Heights,26,9490
Williamsburg,175,63875
Red Hook,85,31025
Clinton Hill,179,65335
Crown Heights,75,27375
Williamsburg,76,27740
Chelsea,225,82125
Harlem,40,14600
Upper East Side,110,40150
Upper East Side,117,42705
Ditmars Steinway,78,28470
Hell's Kitchen,800,292000
Greenpoint,65,23725
Upper West Side,105,38325
Bushwick,45,16425
Elmhurst,34,12410
Harlem,90,32850
Bedford-Stuyvesant,65,23725
Sunnyside,150,54750
Hell's Kitchen,160,58400
Murray Hill,250,91250
Upper East Side,106,38690
Washington Heights,95,34675
Upper East Side,69,25185
Bedford-Stuyvesant,145,52925
Bedford-Stuyvesant,75,27375
East New York,70,25550
Greenpoint,225,82125
Elmhurst,43,15695
Fort Hamilton,121,44165
Williamsburg,50,18250
East Village,198,72270
Crown Heights,109,39785
Chelsea,199,72635
Riverdale,150,54750
Crown Heights,49,17885
Midtown,239,87235
Park Slope,100,36500
Midtown,239,87235
Midtown,239,87235
Williamsburg,170,62050
Midtown,239,87235
Williamsburg,80,29200
Midtown,239,87235
Midtown,239,87235
Hell's Kitchen,239,87235
Upper West Side,80,29200
Bedford-Stuyvesant,140,51100
Gramercy,240,87600
Crown Heights,60,21900
Upper West Side,200,73000
Two Bridges,159,58035
Greenpoint,65,23725
Kips Bay,70,25550
Midtown,369,134685
Upper West Side,120,43800
Midtown,239,87235
East Village,125,45625
Bedford-Stuyvesant,200,73000
East Harlem,50,18250
Harlem,120,43800
Gramercy,100,36500
Williamsburg,80,29200
Lower East Side,140,51100
Sunset Park,105,38325
Crown Heights,49,17885
Carroll Gardens,180,65700
East Village,70,25550
East Village,450,164250
Crown Heights,44,16060
South Slope,89,32485
Carroll Gardens,172,62780
Chelsea,350,127750
Harlem,68,24820
East Harlem,52,18980
Rego Park,70,25550
Sea Gate,223,81395
Sea Gate,71,25915
Sea Gate,97,35405
East Harlem,75,27375
Hell's Kitchen,65,23725
Williamsburg,64,23360
Williamsburg,59,21535
Crown Heights,100,36500
Bushwick,60,21900
Kew Gardens,73,26645
Kew Gardens,219,79935
Greenwich Village,999,364635
Chelsea,150,54750
Elmhurst,52,18980
Crown Heights,90,32850
Upper West Side,150,54750
Upper West Side,325,118625
Washington Heights,170,62050
Maspeth,79,28835
Clinton Hill,175,63875
Upper West Side,75,27375
Crown Heights,120,43800
Harlem,72,26280
Prospect-Lefferts Gardens,80,29200
Upper East Side,175,63875
Harlem,125,45625
Theater District,200,73000
East Village,1000,365000
Bedford-Stuyvesant,45,16425
Chelsea,175,63875
Midwood,89,32485
Mott Haven,500,182500
Washington Heights,84,30660
East Harlem,149,54385
Bedford-Stuyvesant,110,40150
Bushwick,40,14600
Columbia St,98,35770
Upper West Side,160,58400
Lower East Side,32,11680
Upper West Side,380,138700
Crown Heights,35,12775
Clinton Hill,100,36500
Midtown,239,87235
Bedford-Stuyvesant,51,18615
East Village,200,73000
Hell's Kitchen,129,47085
Midtown,239,87235
Upper East Side,140,51100
Hell's Kitchen,239,87235
East Village,56,20440
Midtown,239,87235
Hell's Kitchen,239,87235
Midtown,239,87235
Prospect Heights,37,13505
Bushwick,91,33215
Hell's Kitchen,170,62050
Clinton Hill,169,61685
Upper East Side,35,12775
Crown Heights,180,65700
Bedford-Stuyvesant,55,20075
Midtown,239,87235
Hell's Kitchen,239,87235
Chelsea,175,63875
Bedford-Stuyvesant,67,24455
Hell's Kitchen,239,87235
Morningside Heights,65,23725
Upper West Side,125,45625
Williamsburg,200,73000
Sheepshead Bay,81,29565
Hell's Kitchen,325,118625
Midtown,333,121545
Chinatown,90,32850
Hell's Kitchen,245,89425
Bushwick,90,32850
Midtown,999,364635
Astoria,165,60225
Upper West Side,400,146000
Financial District,160,58400
Bedford-Stuyvesant,75,27375
Chelsea,206,75190
Harlem,70,25550
Williamsburg,65,23725
Bedford-Stuyvesant,126,45990
Crown Heights,40,14600
Midtown,239,87235
Bedford-Stuyvesant,129,47085
Flatbush,92,33580
Harlem,82,29930
Midtown,369,134685
Midtown,369,134685
Midtown,99,36135
Williamsburg,78,28470
Bedford-Stuyvesant,44,16060
Upper East Side,160,58400
Chelsea,220,80300
Mott Haven,125,45625
Midtown,99,36135
Upper East Side,75,27375
Upper West Side,300,109500
Upper West Side,140,51100
Upper West Side,98,35770
Inwood,99,36135
Financial District,178,64970
Astoria,59,21535
Bushwick,75,27375
Belle Harbor,225,82125
Harlem,60,21900
West Village,268,97820
Carroll Gardens,300,109500
Gramercy,177,64605
Longwood,60,21900
Lower East Side,60,21900
Longwood,55,20075
Longwood,60,21900
Crown Heights,135,49275
Fort Hamilton,43,15695
Midtown,139,50735
Hell's Kitchen,100,36500
Flatbush,100,36500
Ridgewood,40,14600
Harlem,55,20075
Financial District,175,63875
Williamsburg,300,109500
Harlem,45,16425
Clinton Hill,144,52560
Crown Heights,60,21900
East Harlem,250,91250
Crown Heights,45,16425
East Village,80,29200
Upper West Side,136,49640
East Village,149,54385
East Harlem,89,32485
East Village,110,40150
Chelsea,179,65335
Astoria,500,182500
Bedford-Stuyvesant,150,54750
Ridgewood,175,63875
Cypress Hills,79,28835
Clinton Hill,117,42705
Williamsburg,91,33215
Upper West Side,65,23725
Midtown,500,182500
Chelsea,85,31025
Midtown,150,54750
Ridgewood,80,29200
Upper West Side,200,73000
Bedford-Stuyvesant,325,118625
Upper East Side,95,34675
East Village,100,36500
Upper West Side,85,31025
Clinton Hill,115,41975
Two Bridges,111,40515
Upper West Side,84,30660
Greenpoint,75,27375
Harlem,95,34675
Crown Heights,110,40150
Greenpoint,50,18250
Brooklyn Heights,115,41975
Chelsea,225,82125
Bushwick,80,29200
Bedford-Stuyvesant,110,40150
Bedford-Stuyvesant,49,17885
Upper West Side,90,32850
Arverne,299,109135
Upper West Side,60,21900
Financial District,175,63875
East Harlem,115,41975
Bedford-Stuyvesant,45,16425
Bedford-Stuyvesant,57,20805
Chinatown,120,43800
Brooklyn Heights,409,149285
Rosedale,350,127750
Arverne,95,34675
Bedford-Stuyvesant,49,17885
East Harlem,155,56575
Bedford-Stuyvesant,265,96725
East Flatbush,215,78475
Ridgewood,120,43800
Bedford-Stuyvesant,54,19710
Bedford-Stuyvesant,79,28835
Upper East Side,185,67525
Washington Heights,60,21900
Arverne,750,273750
Upper East Side,160,58400
Greenwich Village,210,76650
Williamsburg,80,29200
Bedford-Stuyvesant,85,31025
Bedford-Stuyvesant,99,36135
East Village,200,73000
Williamsburg,84,30660
Kensington,105,38325
Williamsburg,150,54750
Rockaway Beach,88,32120
Upper East Side,65,23725
Bedford-Stuyvesant,110,40150
Upper East Side,140,51100
Crown Heights,50,18250
Williamsburg,175,63875
Tottenville,100,36500
Fort Greene,50,18250
Flushing,60,21900
Bushwick,51,18615
Williamsburg,55,20075
Bushwick,85,31025
Crown Heights,60,21900
Upper West Side,143,52195
Lower East Side,85,31025
Sunnyside,110,40150
Midtown,449,163885
Harlem,35,12775
Midtown,369,134685
Morningside Heights,70,25550
Gowanus,295,107675
Upper West Side,110,40150
Upper East Side,65,23725
Hell's Kitchen,109,39785
Sunset Park,35,12775
Clinton Hill,50,18250
Williamsburg,44,16060
East Village,275,100375
East Village,110,40150
Williamsburg,120,43800
Clinton Hill,50,18250
Crown Heights,87,31755
Washington Heights,78,28470
Washington Heights,49,17885
Nolita,109,39785
East Harlem,65,23725
Lower East Side,150,54750
Murray Hill,225,82125
Upper West Side,100,36500
Harlem,125,45625
East Village,115,41975
Bushwick,62,22630
Bushwick,50,18250
East Village,200,73000
Arverne,225,82125
Kips Bay,159,58035
Theater District,150,54750
Bushwick,29,10585
Bedford-Stuyvesant,150,54750
Bushwick,80,29200
Bay Ridge,35,12775
Upper East Side,250,91250
Upper East Side,160,58400
Lower East Side,175,63875
Williamsburg,150,54750
Long Island City,165,60225
Greenpoint,150,54750
Williamsburg,159,58035
Sunset Park,140,51100
Williamsburg,159,58035
Washington Heights,77,28105
Williamsburg,49,17885
Gowanus,55,20075
Park Slope,50,18250
Washington Heights,359,131035
Bedford-Stuyvesant,50,18250
Prospect-Lefferts Gardens,40,14600
Midtown,219,79935
South Slope,189,68985
Lower East Side,140,51100
Maspeth,96,35040
Boerum Hill,300,109500
Jackson Heights,125,45625
East Flatbush,150,54750
Cypress Hills,60,21900
Upper West Side,99,36135
Cypress Hills,60,21900
Gramercy,198,72270
Hell's Kitchen,350,127750
Park Slope,85,31025
Hell's Kitchen,80,29200
Williamsburg,80,29200
Upper West Side,135,49275
Windsor Terrace,61,22265
Bushwick,45,16425
Bushwick,70,25550
Harlem,60,21900
Harlem,75,27375
Greenpoint,165,60225
Greenpoint,112,40880
Harlem,69,25185
Sheepshead Bay,39,14235
Midtown,239,87235
East Village,150,54750
Upper East Side,42,15330
Greenwich Village,195,71175
East Village,194,70810
Bedford-Stuyvesant,75,27375
Carroll Gardens,130,47450
Chelsea,165,60225
Morningside Heights,70,25550
East Village,200,73000
Williamsburg,40,14600
Williamsburg,205,74825
Bedford-Stuyvesant,45,16425
Midtown,139,50735
Washington Heights,339,123735
Brownsville,49,17885
Upper West Side,190,69350
Greenpoint,450,164250
Kensington,45,16425
Williamsburg,199,72635
Carroll Gardens,55,20075
Bedford-Stuyvesant,33,12045
Williamsburg,149,54385
Williamsburg,80,29200
Fort Greene,120,43800
Williamsburg,73,26645
Tribeca,2500,912500
Crown Heights,44,16060
Washington Heights,105,38325
East Harlem,70,25550
Hell's Kitchen,120,43800
Flatbush,57,20805
Astoria,120,43800
Midtown,100,36500
Flatiron District,525,191625
Williamsburg,100,36500
Williamsburg,75,27375
Sheepshead Bay,45,16425
Bushwick,65,23725
Park Slope,132,48180
Harlem,350,127750
Flushing,50,18250
East Harlem,60,21900
Parkchester,59,21535
East Village,80,29200
Pelham Gardens,450,164250
Williamsburg,45,16425
Washington Heights,359,131035
Chelsea,200,73000
Upper West Side,120,43800
Upper East Side,140,51100
Flatbush,436,159140
Chelsea,249,90885
Midtown,300,109500
Bedford-Stuyvesant,140,51100
Williamsburg,170,62050
Williamsburg,200,73000
Williamsburg,60,21900
Chinatown,94,34310
Upper West Side,399,145635
Bushwick,45,16425
Cypress Hills,60,21900
Maspeth,169,61685
East Village,80,29200
Bedford-Stuyvesant,55,20075
East Harlem,220,80300
Bergen Beach,235,85775
Clinton Hill,125,45625
Astoria,66,24090
Financial District,80,29200
Far Rockaway,40,14600
Astoria,57,20805
Crown Heights,48,17520
East Village,99,36135
Laurelton,40,14600
Upper West Side,250,91250
East Village,180,65700
Upper East Side,115,41975
Williamsburg,104,37960
Williamsburg,325,118625
Midtown,299,109135
Bedford-Stuyvesant,40,14600
Upper East Side,89,32485
Hell's Kitchen,100,36500
Jamaica,59,21535
Financial District,300,109500
Gramercy,65,23725
Inwood,50,18250
Lower East Side,120,43800
Lower East Side,125,45625
Williamsburg,80,29200
Upper West Side,56,20440
Hell's Kitchen,219,79935
Hell's Kitchen,197,71905
Bushwick,260,94900
Flatiron District,115,41975
Parkchester,75,27375
Crown Heights,66,24090
Astoria,75,27375
SoHo,500,182500
